dataMessageGUID,sensorID,messageDate,state,signalStrength,voltage,battery,rawData,displayData,plotValue,metNotificationRequirements,gatewayID,dataValue,dataType,plotValues,plotLabels,applicationID,sensorName,accountID
193232df-c7eb-42ef-ad3c-7defe2452ad0,518781,2020-11-15 19:14:58,0,100,2.8,100,393|4,CO2 Instantaneous: 393 ppm; CO2 TWA: 409 ppm,393,False,947629,393|409,PPM|PPM,393|409,Instantaneous|TWA,106,CO2 Meter - 518781,28135
46a0372e-fa5c-4365-bb54-3f7f3244bede,518781,2020-11-15 17:14:58,0,100,2.8,100,400|4,CO2 Instantaneous: 400 ppm; CO2 TWA: 416 ppm,400,False,947629,400|416,PPM|PPM,400|416,Instantaneous|TWA,106,CO2 Meter - 518781,28135
0bb3775c-14de-471a-aedc-430064153288,518781,2020-11-15 15:14:59,0,100,2.8,100,394|4,CO2 Instantaneous: 394 ppm; CO2 TWA: 416 ppm,394,False,947629,394|416,PPM|PPM,394|416,Instantaneous|TWA,106,CO2 Meter - 518781,28135
fab886b9-27ac-4dd9-aa7b-75ca551403e1,518781,2020-11-15 13:14:58,0,100,2.8,100,439|4,CO2 Instantaneous: 439 ppm; CO2 TWA: 418 ppm,439,False,947629,439|418,PPM|PPM,439|418,Instantaneous|TWA,106,CO2 Meter - 518781,28135
2e01e22e-21d6-4e05-8bc1-7a9168655cf8,518781,2020-11-15 11:14:59,0,100,2.8,100,409|4,CO2 Instantaneous: 409 ppm; CO2 TWA: 419 ppm,409,False,947629,409|419,PPM|PPM,409|419,Instantaneous|TWA,106,CO2 Meter - 518781,28135
c708ac01-6691-4525-8e02-bd169a8b4e58,518781,2020-11-15 09:14:58,0,100,2.8,100,410|4,CO2 Instantaneous: 410 ppm; CO2 TWA: 419 ppm,410,False,947629,410|419,PPM|PPM,410|419,Instantaneous|TWA,106,CO2 Meter - 518781,28135
8ce225d5-52b6-4938-9003-898b8ce595ae,518781,2020-11-15 07:14:58,0,100,2.8,100,412|4,CO2 Instantaneous: 412 ppm; CO2 TWA: 424 ppm,412,False,947629,412|424,PPM|PPM,412|424,Instantaneous|TWA,106,CO2 Meter - 518781,28135
4f3d7e5c-5c29-415d-8598-df19f2e5aba3,518781,2020-11-15 05:14:58,0,100,2.8,100,428|4,CO2 Instantaneous: 428 ppm; CO2 TWA: 425 ppm,428,False,947629,428|425,PPM|PPM,428|425,Instantaneous|TWA,106,CO2 Meter - 518781,28135
22c05fac-6364-43cd-b781-79bb3ac39d74,518781,2020-11-15 03:14:58,0,100,2.8,100,429|4,CO2 Instantaneous: 429 ppm; CO2 TWA: 421 ppm,429,False,947629,429|421,PPM|PPM,429|421,Instantaneous|TWA,106,CO2 Meter - 518781,28135
558a0ce5-c341-4bac-8fa5-cbc81e323d6c,518781,2020-11-15 01:14:59,0,100,2.8,100,429|4,CO2 Instantaneous: 429 ppm; CO2 TWA: 416 ppm,429,False,947629,429|416,PPM|PPM,429|416,Instantaneous|TWA,106,CO2 Meter - 518781,28135
9ce17152-ba4e-4de7-9bf9-59bd5769ccc8,518781,2020-11-16 23:14:58,0,100,2.8,100,459|4,CO2 Instantaneous: 459 ppm; CO2 TWA: 425 ppm,459,False,947629,459|425,PPM|PPM,459|425,Instantaneous|TWA,106,CO2 Meter - 518781,28135
2cd57aeb-3357-4930-ae15-00fda4da0cba,518781,2020-11-16 21:14:58,0,100,2.8,100,426|4,CO2 Instantaneous: 426 ppm; CO2 TWA: 423 ppm,426,False,947629,426|423,PPM|PPM,426|423,Instantaneous|TWA,106,CO2 Meter - 518781,28135
dfe9ea9f-0aa0-4c05-b785-17c8ce7aa69c,518781,2020-11-16 19:14:58,0,100,2.8,100,392|4,CO2 Instantaneous: 392 ppm; CO2 TWA: 428 ppm,392,False,947629,392|428,PPM|PPM,392|428,Instantaneous|TWA,106,CO2 Meter - 518781,28135
54137ddf-8283-4c83-a10b-64e77c4d8db3,518781,2020-11-16 17:14:59,0,100,2.8,100,424|4,CO2 Instantaneous: 424 ppm; CO2 TWA: 435 ppm,424,False,947629,424|435,PPM|PPM,424|435,Instantaneous|TWA,106,CO2 Meter - 518781,28135
acdfc343-e5c4-4f97-bc20-3fe5fa64b0dd,518781,2020-11-16 15:14:58,0,100,2.8,100,454|4,CO2 Instantaneous: 454 ppm; CO2 TWA: 429 ppm,454,False,947629,454|429,PPM|PPM,454|429,Instantaneous|TWA,106,CO2 Meter - 518781,28135
9de45184-619e-45fc-8e1f-52929ffa3ddf,518781,2020-11-16 13:14:59,0,100,2.8,100,425|4,CO2 Instantaneous: 425 ppm; CO2 TWA: 428 ppm,425,False,947629,425|428,PPM|PPM,425|428,Instantaneous|TWA,106,CO2 Meter - 518781,28135
9c592bd9-f6e7-4a12-9e8a-f588c73ecdfd,518781,2020-11-16 11:14:59,0,100,2.8,100,453|4,CO2 Instantaneous: 453 ppm; CO2 TWA: 430 ppm,453,False,947629,453|430,PPM|PPM,453|430,Instantaneous|TWA,106,CO2 Meter - 518781,28135
f413f029-00b4-455b-b310-af5d2490e467,518781,2020-11-16 09:14:58,0,100,2.8,100,414|4,CO2 Instantaneous: 414 ppm; CO2 TWA: 429 ppm,414,False,947629,414|429,PPM|PPM,414|429,Instantaneous|TWA,106,CO2 Meter - 518781,28135
25924290-8107-411e-becc-364169b2e331,518781,2020-11-16 07:14:59,0,100,2.8,100,420|4,CO2 Instantaneous: 420 ppm; CO2 TWA: 430 ppm,420,False,947629,420|430,PPM|PPM,420|430,Instantaneous|TWA,106,CO2 Meter - 518781,28135
6fbfde77-ad2e-4cf4-9fcb-791f8148011f,518781,2020-11-16 05:14:59,0,100,2.8,100,428|4,CO2 Instantaneous: 428 ppm; CO2 TWA: 426 ppm,428,False,947629,428|426,PPM|PPM,428|426,Instantaneous|TWA,106,CO2 Meter - 518781,28135
f088fecf-b617-4761-b8a2-5a0baf382e2c,518781,2020-11-16 03:14:58,0,100,2.8,100,421|4,CO2 Instantaneous: 421 ppm; CO2 TWA: 419 ppm,421,False,947629,421|419,PPM|PPM,421|419,Instantaneous|TWA,106,CO2 Meter - 518781,28135
4402f28f-4e7a-42c4-8a83-1fd1ef0555da,518781,2020-11-16 01:14:59,0,100,2.8,100,431|4,CO2 Instantaneous: 431 ppm; CO2 TWA: 410 ppm,431,False,947629,431|410,PPM|PPM,431|410,Instantaneous|TWA,106,CO2 Meter - 518781,28135
a2293435-4456-442d-abd1-13158de46fb9,518781,2020-11-17 23:14:59,0,100,2.8,100,457|4,CO2 Instantaneous: 457 ppm; CO2 TWA: 452 ppm,457,False,947629,457|452,PPM|PPM,457|452,Instantaneous|TWA,106,CO2 Meter - 518781,28135
a454b4d4-7993-4b1f-991f-e0b8387a57c8,518781,2020-11-17 21:14:59,0,100,2.8,100,446|4,CO2 Instantaneous: 446 ppm; CO2 TWA: 454 ppm,446,False,947629,446|454,PPM|PPM,446|454,Instantaneous|TWA,106,CO2 Meter - 518781,28135
1bb3a393-d1e3-4dda-84a4-fb10a721f9fd,518781,2020-11-17 19:14:59,0,100,2.8,100,413|4,CO2 Instantaneous: 413 ppm; CO2 TWA: 453 ppm,413,False,947629,413|453,PPM|PPM,413|453,Instantaneous|TWA,106,CO2 Meter - 518781,28135
573bea2f-cbe5-4e79-9c64-5f9dd43945ed,518781,2020-11-17 17:14:59,0,100,2.8,100,484|4,CO2 Instantaneous: 484 ppm; CO2 TWA: 449 ppm,484,False,947629,484|449,PPM|PPM,484|449,Instantaneous|TWA,106,CO2 Meter - 518781,28135
ea6178e3-e0bc-4df0-b231-0f76f96ccdae,518781,2020-11-17 15:14:59,0,100,2.8,100,452|4,CO2 Instantaneous: 452 ppm; CO2 TWA: 431 ppm,452,False,947629,452|431,PPM|PPM,452|431,Instantaneous|TWA,106,CO2 Meter - 518781,28135
39c8dea1-a417-4942-acf8-727026be8010,518781,2020-11-17 13:14:59,0,100,2.8,100,435|4,CO2 Instantaneous: 435 ppm; CO2 TWA: 433 ppm,435,False,947629,435|433,PPM|PPM,435|433,Instantaneous|TWA,106,CO2 Meter - 518781,28135
50201f14-bd7e-4c67-a5ce-69b4c408723c,518781,2020-11-17 11:14:58,0,100,2.8,100,406|4,CO2 Instantaneous: 406 ppm; CO2 TWA: 450 ppm,406,False,947629,406|450,PPM|PPM,406|450,Instantaneous|TWA,106,CO2 Meter - 518781,28135
